"State","AreaName","edu.total","edu.males","edu.females","m_no_school","m_hs","m_bs","m_ms","m_phd","f_no_school","f_hs","f_bs","f_ms","f_phd","year","cause","amt_death","AADR"
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Unintentional Injuries",2313,52.17
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"All Causes",44806,1009.3
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Alzheimers disease",772,17.8
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Homicide",438,9.87
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Stroke",3148,71.45
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Chronic liver disease and cirrhosis",412,9.16
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"CLRD",2179,48.59
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Diabetes",1341,30
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Diseases of Heart",13419,302.96
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Essential hypertension and hypertensive renal disease",313,7.1
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Influenza and pneumonia",1228,28.2
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Suicide",555,12.46
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Cancer",9506,210.9
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Kidney Disease",979,22.18
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Parkinsons disease",207,4.72
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Pneumonitis due to solids and liquids",306,7.01
"AL","Alabama",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Septicemia",691,15.6
